label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
1,"Hello, tell me about yourself.", Where did you come up with,6,where did you come up with,0.9229331612586975,0.07706684619188309,32.31394577026367,1.0,0.8333333333333334,0.6666666666666666
1,"Hello, tell me about yourself.",I'm an 18,3,i m an,0.026255713775753975,0.9737442135810852,710.8609008789062,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, tell me about yourself.",I am a student,4,i am a student,0.7843356132507324,0.21566440165042877,78.88905334472656,1.0,0.75,0.5
1,"Hello, tell me about yourself.",I'm a 25,3,i m a,0.007859350182116032,0.9921407103538513,451.376708984375,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, tell me about yourself.", I know that it's a,5,i know that it s a,0.009589619003236294,0.9904104471206665,70.68407440185547,1.0,0.8,0.6
1,"Hello, tell me about yourself."," Where are you from, what",5,where are you from what,0.998977780342102,0.0010222349083051085,35.7915153503418,1.0,0.8,0.6
1,"Hello, how are you?", I'm back! So I,4,i m back so i,0.9841637015342712,0.01583624631166458,187.58175659179688,1.0,0.75,0.5
1,"Hello, how are you?",I'm doing fine,3,i m doing fine,0.9935367703437805,0.006463244557380676,155.49620056152344,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, how are you?",You look like you,4,you look like you,0.7809358835220337,0.2190641313791275,40.747581481933594,1.0,0.75,0.5
1,"Hello, how are you?", My name is Alex. I,5,my name is alex i,0.8635895252227783,0.13641051948070526,72.25186157226562,1.0,0.8,0.6
1,"Hello, how are you?", I'm glad you came.,4,i m glad you came,0.2776486277580261,0.7223513722419739,90.69441986083984,1.0,0.75,0.5
1,"Hello, how are you?","Well, I'm",2,well i m,0.2279352992773056,0.7720646858215332,80.98243713378906,1.0,0.5,0.0
1,I had a splendid weekend., I did a lot of things,6,i did a lot of things,0.9691900014877319,0.030810007825493813,63.28756332397461,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., I got to spend two nights,6,i got to spend two nights,0.8686503767967224,0.131349578499794,36.906375885009766,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., After spending the weekend at the,6,after spending the weekend at the,0.3081088960170746,0.691891074180603,24.43192481994629,0.8333333333333334,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., My wife and I had a,6,my wife and i had a,0.005034453235566616,0.9949654936790466,54.85647201538086,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., I went to see The Big,6,i went to see the big,0.060180969536304474,0.9398189783096313,38.25856399536133,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., It's not just a weekend,5,it s not just a weekend,0.9989253878593445,0.0010745861800387502,96.6568374633789,1.0,0.8,0.6
1,Good afternoon.," I'm your host, the",4,i m your host the,0.0010571505408734083,0.9989429116249084,75.23748779296875,1.0,0.75,0.5
1,Good afternoon.,As a longtime resident,4,as a longtime resident,0.01728724129498005,0.9827127456665039,27.704072952270508,1.0,0.75,0.5
1,Good afternoon., This is the last post before,6,this is the last post before,0.9959744811058044,0.004025504924356937,26.957759857177734,1.0,0.8333333333333334,0.6666666666666666
1,Good afternoon., My name is Michael Eriks,5,my name is michael eriks,0.32277464866638184,0.6772253513336182,38.70177459716797,1.0,0.8,0.6
1,Good afternoon., I'm glad to be here,5,i m glad to be here,0.9540823698043823,0.04591758921742439,54.828102111816406,1.0,0.8,0.6
1,Good afternoon.," It's a good afternoon,",4,it s a good afternoon,0.3960789740085602,0.6039210557937622,81.00398254394531,1.0,0.75,0.5
1,Tell me about your family., Where did your parents live?,5,where did your parents live,0.6984012722969055,0.3015987277030945,27.454374313354492,1.0,0.8,0.6
1,Tell me about your family.,My mom and dad,4,my mom and dad,0.8400648832321167,0.1599351167678833,45.165897369384766,1.0,0.75,0.5
1,Tell me about your family.,My grandfather was a,4,my grandfather was a,0.001240573707036674,0.998759388923645,38.42050552368164,1.0,0.75,0.5
