label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
1,Awesome! I actually haven't been there. When did you go?," I'm from Chicago, I",4,i m from chicago i,0.9989664554595947,0.0010335077531635761,73.59712982177734,1.0,0.75,0.5
1,Awesome! I actually haven't been there. When did you go?,I went on the,4,i went on the,0.1025201678276062,0.8974798917770386,43.664337158203125,1.0,0.75,0.5
1,Awesome! I actually haven't been there. When did you go?,You mean before that,4,you mean before that,0.0011135425884276628,0.9988865256309509,26.944305419921875,1.0,0.75,0.5
1,Awesome! I actually haven't been there. When did you go?,I think you should,4,i think you should,0.9807382225990295,0.019261730834841728,125.21392822265625,1.0,0.75,0.5
1,Awesome! I actually haven't been there. When did you go?, I've been to many of,5,i ve been to many of,0.9944637417793274,0.005536238197237253,53.55474090576172,1.0,0.8,0.6
1,Awesome! I actually haven't been there. When did you go?, Where?I am,2,where i am,0.07866210490465164,0.9213378429412842,124.87067413330078,1.0,0.5,0.0
1,Can I add you on Facebook?, YesHow can I,3,yeshow can i,0.010101905092597008,0.9898980855941772,82.31543731689453,1.0,0.6666666666666666,0.3333333333333333
1,Can I add you on Facebook?,Yes. If you,3,yes if you,0.029912618920207024,0.9700874090194702,163.82522583007812,1.0,0.6666666666666666,0.3333333333333333
1,Can I add you on Facebook?,You must be invited,4,you must be invited,0.5050736665725708,0.4949263334274292,36.43562316894531,1.0,0.75,0.5
1,Can I add you on Facebook?,You can add me,4,you can add me,0.998970627784729,0.0010293488157913089,38.32884979248047,1.0,0.75,0.5
1,Can I add you on Facebook?, Yes! We'll post a,4,yes we ll post a,0.2151990383863449,0.7848009467124939,81.62747955322266,1.0,0.75,0.5
1,Can I add you on Facebook?,"Yes, please add",3,yes please add,0.9744068384170532,0.02559318020939827,33.79546356201172,1.0,0.6666666666666666,0.3333333333333333
1,Do you have any hobbies?, I'm pretty sure that I,5,i m pretty sure that i,0.9114742875099182,0.08852570503950119,37.619667053222656,1.0,0.8,0.6
1,Do you have any hobbies?,I like doing things,4,i like doing things,0.9081359505653381,0.09186405688524246,48.40278625488281,1.0,0.75,0.5
1,Do you have any hobbies?,I am a musician,4,i am a musician,0.0088442238047719,0.991155743598938,125.30603790283203,1.0,0.75,0.5
1,Do you have any hobbies?,I love to paint,4,i love to paint,0.8456329703330994,0.15436702966690063,62.16132354736328,1.0,0.75,0.5
1,Do you have any hobbies?,I don't think,3,i don t think,0.6082803606987,0.3917196989059448,209.8728485107422,1.0,0.6666666666666666,0.3333333333333333
1,Do you have any hobbies?,"I love fishing,",3,i love fishing,0.9989510774612427,0.0010489268461242318,46.27568435668945,1.0,0.6666666666666666,0.3333333333333333
1,What do you wanna eat?," A little chicken, a little",5,a little chicken a little,0.0011086845770478249,0.998891294002533,40.56156921386719,0.8,0.8,0.6
1,What do you wanna eat?,If you are not,4,if you are not,0.9969346523284912,0.003065330907702446,105.2830581665039,1.0,0.75,0.5
1,What do you wanna eat?,You wanna eat some,4,you wanna eat some,0.9985798597335815,0.001420190674252808,33.717525482177734,1.0,0.75,0.5
1,What do you wanna eat?,You're gonna wanna,3,you re gonna wanna,0.9989781379699707,0.0010219226824119687,37.61483383178711,1.0,0.6666666666666666,0.3333333333333333
1,What do you wanna eat?, I don't know. I,4,i don t know i,0.025014925748109818,0.9749851226806641,261.8332824707031,0.75,0.75,0.5
1,What do you wanna eat?,"A good question,",3,a good question,0.8303326964378357,0.1696673035621643,104.95137786865234,1.0,0.6666666666666666,0.3333333333333333
1,What are your plans this week?, I'm going to go to,5,i m going to go to,0.050838906317949295,0.9491611123085022,35.4199333190918,0.8,0.8,0.6
1,What are your plans this week?,If you are not,4,if you are not,0.9968041181564331,0.003195833647623658,105.2830581665039,1.0,0.75,0.5
1,What are your plans this week?,I am looking to,4,i am looking to,0.7000659108161926,0.299934059381485,100.42298889160156,1.0,0.75,0.5
1,What are your plans this week?,I think the main,4,i think the main,0.13663093745708466,0.8633691072463989,123.22759246826172,1.0,0.75,0.5
1,What are your plans this week?, I know that it's a,5,i know that it s a,0.009589619003236294,0.9904104471206665,70.68407440185547,1.0,0.8,0.6
1,What are your plans this week?,What are your plans,4,what are your plans,0.8986982107162476,0.10130176693201065,29.772436141967773,1.0,0.75,0.5
1,Awesome! I actually haven't been there. When did you go?,I went on the last Saturday of August. The,9,i went on the last saturday of august the,0.4441601634025574,0.5558398365974426,35.73906326293945,1.0,0.8888888888888888,0.7777777777777778
1,Awesome! I actually haven't been there. When did you go?,I think you should check it out. It is,9,i think you should check it out it is,0.3534913659095764,0.6465085744857788,60.93033218383789,1.0,0.8888888888888888,0.7777777777777778
1,Awesome! I actually haven't been there. When did you go?, Where?I am from New Jersey. I live,7,where i am from new jersey i live,0.9988958835601807,0.0011040495010092854,43.61333465576172,1.0,0.8571428571428571,0.7142857142857143
1,Awesome! I actually haven't been there. When did you go?, I was in the middle of a tour and was just going,12,i was in the middle of a tour and was just going,0.9782628417015076,0.02173711359500885,33.19095230102539,0.9166666666666666,0.9166666666666666,0.8333333333333334
1,Awesome! I actually haven't been there. When did you go?,I went last year on my first day of school,10,i went last year on my first day of school,0.9896290898323059,0.010370857082307339,29.268896102905273,1.0,0.9,0.8
1,Awesome! I actually haven't been there. When did you go?,I went there about three or four months ago.,9,i went there about three or four months ago,0.12853722274303436,0.8714627623558044,26.60447883605957,1.0,0.8888888888888888,0.7777777777777778
1,Can I add you on Facebook?,Yes. If you want to add your name to,9,yes if you want to add your name to,0.9410473704338074,0.058952707797288895,39.23460006713867,0.8888888888888888,0.8888888888888888,0.7777777777777778
1,Can I add you on Facebook?,You can add me as a fan or as a,10,you can add me as a fan or as a,0.9989280104637146,0.0010719160782173276,27.51866912841797,0.8,0.8,0.8
1,Can I add you on Facebook?,"Yes, please add me. If you'd rather",7,yes please add me if you d rather,0.9989809393882751,0.0010190906468778849,36.73902130126953,1.0,0.8571428571428571,0.7142857142857143
1,Can I add you on Facebook?,Yes! Please add a link to my Facebook page,9,yes please add a link to my facebook page,0.9989504814147949,0.0010495405877009034,34.24158477783203,1.0,0.8888888888888888,0.7777777777777778
1,Can I add you on Facebook?,I can be added on Facebook at any time.,9,i can be added on facebook at any time,0.9989468455314636,0.0010531808948144317,34.286766052246094,1.0,0.8888888888888888,0.7777777777777778
1,Can I add you on Facebook?,"Yes, you can add me as a friend on",9,yes you can add me as a friend on,0.9569116234779358,0.0430884025990963,30.0966796875,1.0,0.8888888888888888,0.7777777777777778
1,Do you have any hobbies?,"I like doing things that are creative, but also",9,i like doing things that are creative but also,0.9989711046218872,0.0010289057390764356,31.899473190307617,1.0,0.8888888888888888,0.7777777777777778
1,Do you have any hobbies?,"I love to paint, especially watercolors.",6,i love to paint especially watercolors,0.009808219969272614,0.9901918172836304,38.28498077392578,1.0,0.8333333333333334,0.6666666666666666
1,Do you have any hobbies?,"I love fishing, camping, hunting, and spending",7,i love fishing camping hunting and spending,0.5455923080444336,0.4544077217578888,30.065776824951172,1.0,0.8571428571428571,0.7142857142857143
1,Do you have any hobbies?, Do you have anything you love to do?I,8,do you have anything you love to do i,0.9540023803710938,0.04599764570593834,30.365768432617188,0.875,0.875,0.75
1,Do you have any hobbies?,I love to cook and I like to paint.,9,i love to cook and i like to paint,0.4914560616016388,0.5085439085960388,39.11532974243164,0.7777777777777778,0.8888888888888888,0.7777777777777778
1,Do you have any hobbies?,I love to read and write. I'm really,8,i love to read and write i m really,0.7521494030952454,0.24785064160823822,42.064239501953125,1.0,0.875,0.75
1,What do you wanna eat?,If you are not a vegetarian or a vegan and,10,if you are not a vegetarian or a vegan and,0.001071870676241815,0.9989281296730042,31.710886001586914,0.9,0.9,0.8
1,What do you wanna eat?,You're gonna wanna eat some shit.,6,you re gonna wanna eat some shit,0.9989330172538757,0.0010670115007087588,31.796327590942383,1.0,0.8333333333333334,0.6666666666666666
1,What do you wanna eat?,"A good question, as it's not exactly obvious",8,a good question as it s not exactly obvious,0.879067063331604,0.1209329292178154,48.62896728515625,1.0,0.875,0.75
1,What do you wanna eat?,I have a great list of recipes for your dinner,10,i have a great list of recipes for your dinner,0.9815240502357483,0.018476001918315887,27.009653091430664,1.0,0.9,0.8
1,What do you wanna eat?,What do you wanna drink?How long,6,what do you wanna drink how long,0.9989978671073914,0.0010020973859354854,37.149105072021484,1.0,0.8333333333333334,0.6666666666666666
1,What do you wanna eat?,"This week, we have some food suggestions for you",9,this week we have some food suggestions for you,0.9989470839500427,0.0010528845014050603,25.109813690185547,1.0,0.8888888888888888,0.7777777777777778
1,What are your plans this week?,If you are not a member you will need to,10,if you are not a member you will need to,0.005243021063506603,0.9947570562362671,39.19709777832031,0.9,0.9,0.8
1,What are your plans this week?,I think the main thing is that we are going,10,i think the main thing is that we are going,0.8191475868225098,0.18085242807865143,26.91031265258789,1.0,0.9,0.8
1,What are your plans this week?,What are your plans this week?I,6,what are your plans this week i,0.9940128922462463,0.005987099837511778,26.881595611572266,1.0,0.8333333333333334,0.6666666666666666
1,What are your plans this week?,I have a long list of things I need to,10,i have a long list of things i need to,0.501366138458252,0.49863383173942566,25.7857723236084,0.9,0.9,0.8
1,What are your plans this week?,I'll be doing a lot of interviews this week,9,i ll be doing a lot of interviews this week,0.03818364813923836,0.9618163108825684,28.230066299438477,1.0,0.8888888888888888,0.7777777777777778
1,What are your plans this week?,We're working with our sponsors to bring you some,9,we re working with our sponsors to bring you some,0.998948872089386,0.0010511697037145495,26.157047271728516,1.0,0.8888888888888888,0.7777777777777778
1,Awesome! I actually haven't been there. When did you go?,"You mean before that?Oh yeah, I went to that party.",10,you mean before that oh yeah i went to that party,0.9752162098884583,0.024783823639154434,29.513444900512695,1.0,0.9,0.8
1,Awesome! I actually haven't been there. When did you go?, Where?I am from New Jersey. I live near the NJ border with New,13,where i am from new jersey i live near the nj border with new,0.9989538192749023,0.0010461794445291162,28.95400047302246,0.9230769230769231,0.9230769230769231,0.8461538461538461
1,Awesome! I actually haven't been there. When did you go?," What's the best time to go, in the future?Thanks so much for",12,what s the best time to go in the future thanks so much for,0.9408748745918274,0.0591251514852047,30.172773361206055,0.9166666666666666,0.9166666666666666,0.8333333333333334
1,Awesome! I actually haven't been there. When did you go?,I went there about three or four months ago. It was a little weird because,15,i went there about three or four months ago it was a little weird because,0.2032468318939209,0.7967531681060791,25.27570343017578,1.0,0.9333333333333333,0.8666666666666667
1,Awesome! I actually haven't been there. When did you go?," I'm from the US, so my question is about the US. I'm not sure",14,i m from the us so my question is about the us i m not sure,0.9989172220230103,0.0010827420046553016,30.674827575683594,0.8571428571428571,0.9285714285714286,0.8571428571428571
1,Awesome! I actually haven't been there. When did you go?,"I went on a weekend, but we were in a different place from the others",15,i went on a weekend but we were in a different place from the others,0.9779638051986694,0.022036200389266014,21.495168685913086,0.9333333333333333,0.9333333333333333,0.8666666666666667
1,Can I add you on Facebook?,You must be invited by the email address you have registered with Facebook to add me,16,you must be invited by the email address you have registered with facebook to add me,0.9989738464355469,0.001026206649839878,23.740217208862305,1.0,0.9375,0.875
1,Can I add you on Facebook?,"Yes, please add me. If you'd rather not add me, you can",12,yes please add me if you d rather not add me you can,0.9989315867424011,0.0010683443397283554,31.215686798095703,0.9166666666666666,0.9166666666666666,0.8333333333333334
1,Can I add you on Facebook?,Yes! Click the button below to sign-up on our Facebook page!,11,yes click the button below to sign up on our facebook page,0.9989570379257202,0.001042937277816236,37.07168960571289,1.0,0.9090909090909091,0.8181818181818182
1,Can I add you on Facebook?,"Yes, you can add me as a friend on Facebook.<|endoftext|>The New England",12,yes you can add me as a friend on facebook endoftext the new england,0.998928964138031,0.001070977421477437,41.923011779785156,1.0,0.9166666666666666,0.8333333333333334
1,Can I add you on Facebook?,We do have a Facebook Page where you can follow us. We are also on,15,we do have a facebook page where you can follow us we are also on,0.9989527463912964,0.0010472049470990896,28.386281967163086,0.9333333333333333,0.9333333333333333,0.8666666666666667
1,Can I add you on Facebook?,You can add us to your Facebook Friends list by adding us to your Facebook Group,16,you can add us to your facebook friends list by adding us to your facebook group,0.9988839030265808,0.0011160556459799409,25.35927963256836,0.75,0.75,0.75
1,Do you have any hobbies?,I am a musician by trade and have a great interest in science. I like,15,i am a musician by trade and have a great interest in science i like,0.7063398361206055,0.29366016387939453,31.16905975341797,0.8666666666666667,0.9333333333333333,0.8666666666666667
