label,prompt,text,text_length,clean_text,young_prob,old_prob,perplexity,dist_1,dist_2,dist_3
1,"Hello, tell me about yourself.", I hear your name a lot,6,i hear your name a lot,0.9414898753166199,0.058510079979896545,44.56873321533203,1.0,0.8333333333333334,0.6666666666666666
1,"Hello, tell me about yourself.",I'm an 18,3,i m an,0.026255713775753975,0.9737442135810852,710.8609008789062,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, tell me about yourself.",I am a student,4,i am a student,0.7843356132507324,0.21566440165042877,78.88905334472656,1.0,0.75,0.5
1,"Hello, tell me about yourself.",I'm a 25,3,i m a,0.007859350182116032,0.9921407103538513,451.376708984375,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, tell me about yourself.", I know that you are a,6,i know that you are a,0.053191475570201874,0.9468085169792175,48.9936637878418,1.0,0.8333333333333334,0.6666666666666666
1,"Hello, tell me about yourself."," Where are you from, what",5,where are you from what,0.998977780342102,0.0010222349083051085,35.7915153503418,1.0,0.8,0.6
1,"Hello, how are you?", I'm happy to be here,5,i m happy to be here,0.9989637136459351,0.0010363336186856031,57.573307037353516,1.0,0.8,0.6
1,"Hello, how are you?",I'm doing fine,3,i m doing fine,0.9933744072914124,0.006625587586313486,155.49620056152344,1.0,0.6666666666666666,0.3333333333333333
1,"Hello, how are you?",You look like you,4,you look like you,0.7883385419845581,0.21166150271892548,40.747581481933594,1.0,0.75,0.5
1,"Hello, how are you?", My name is Alex. I,5,my name is alex i,0.863801896572113,0.13619808852672577,72.25186157226562,1.0,0.8,0.6
1,"Hello, how are you?", I'm glad you came.,4,i m glad you came,0.2776486277580261,0.7223513722419739,90.69441986083984,1.0,0.75,0.5
1,"Hello, how are you?","Well, I'm",2,well i m,0.2279352992773056,0.7720646858215332,80.98243713378906,1.0,0.5,0.0
1,I had a splendid weekend., I did a lot of things,6,i did a lot of things,0.9691900014877319,0.030810007825493813,63.28756332397461,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., I got to spend two nights,6,i got to spend two nights,0.8686503767967224,0.131349578499794,36.906375885009766,1.0,0.8333333333333334,0.6666666666666666
1,I had a splendid weekend., I've been a bit lazy,5,i ve been a bit lazy,0.9702423810958862,0.029757602140307426,79.12149810791016,1.0,0.8,0.6
